,Date,Place,Title,Band,Open,Start
7,2018-07-09,梅田Zeela,Naked Rock Star,"['アオトルカ', '惇と彩恵(アイビーカラー)', 'フジカワシンゴ(脳内リフレイン)', '稜(暴想ソプラノバイエルン) ', '池田雅弥(EMPTY HEAD BRAVERS)', '大道竣', '前田典昭(ソウルフード)\r\n/ ※出演予定の砂川信祐(OCEAN)は諸事情によりキャンセルとなりました。']",18:00:00,18:30:00
8,2018-07-11,梅田Zeela,FREE AROUND vol.3,"['UNMASK aLIVE', '#000000has_it_all.', 'EPIC MONSTER', 'UANDistory', 'Davinci(GUEST)']",18:00:00,18:30:00
9,2018-07-12,梅田Zeela,UMEDA EXPLOSION〜 i am you are「毒と薬になる言葉」発売記念〜,"['i am you are', 'Bray me', 'バウンダリー', 'CAT ATE HOTDOGS', 'forgood', 'タラレバ']",18:00:00,18:30:00
10,2018-07-13,梅田Zeela,"関西若手""ホロ狩り""の陣2018","['ホロ', '然れど', 'ゼノ', 'lical']",18:00:00,18:30:00
11,2018-07-14,梅田Zeela,【The origin of the Japanese progressive rock】,"['MOON DANCER', '＜厚見 麗 (key,vo)', '沢村 拓 (g,vo)', '下田 展久 (b,vo)', '佐藤 芳樹 (dr)＞', 'NOVELA-1(broke off)', '＜Vo/ANGIE', 'Gt/MOCK', 'Ba/YOSHIROW', 'Dr/EIJIRO', 'Key/TOSHI＞']",17:30:00,18:30:00
12,2018-07-15,梅田Zeela,Yoshiharu Shiina 20th Anniversary TOUR 「jump-ing」　※男性限定ライブ,['椎名慶治'],16:30:00,17:00:00
13,2018-07-16,梅田Zeela,1st Full Album「セプテンバーミー」リリースツアー「Plus Ultra Tour 2018」,"['セプテンバーミー', 'LIFriends']",18:00:00,18:30:00
14,2018-07-17,梅田Zeela,UMEDA EXPLOSION,"['キャストライト', '青春日和', 'Fake In Act', '佐久間丈幸 Z', 'ニキ', 'Kräher']",18:00:00,18:30:00
15,2018-07-18,梅田Zeela,ハロルド&梅田Zeela presents「HALLO!堂山CARNIVAL!」,"['ハロルド', 'YOKOYURE', 'Scarf & the SuspenderS', 'Newdums']",18:30:00,19:00:00
16,2018-07-19,梅田Zeela,FREE AROUND vol.4,"['MEET ME SATURDAY', 'UnderGlowver', 'RINNE', '嗜みロック', '※出演予定のcallslowは諸事情によりキャンセルとなりました。']",18:30:00,19:00:00
17,2018-07-20,梅田Zeela,THE SALA「MARCH」release tour～Final series～,"['THE SALA', 'revenge my LOST', 'I-RabBits', 'ザ・マスミサイル']",18:00:00,18:30:00
18,2018-07-21,梅田Zeela,TOUR THE WILD BUNCH!,['THE BLACK COMET CLUB BAND'],17:30:00,18:00:00
19,2018-07-22,梅田Zeela,きゃわふるTORNADO ONE MAN LIVE T-03 TOUR 〜夏のきゃわ騒ぎ・大阪編〜,['きゃわふるTORNADO'],15:30:00,16:00:00
20,2018-07-23,梅田Zeela,第５回ハウルよりハウラン方が絶っっっっっ対ええ夜!!!!～いつも以上に際立つ銀色ナイト～,"['HUL OVER', 'FAREWELL MY FAITH', '隠世ノ匣', 'DragonFly']",18:30:00,19:00:00
21,2018-07-24,梅田Zeela,Enterlyric 1st Full Album 「CEREMONY」 Release Tour -梅田編-,"['Enterlyric', 'Alu.', 'mäshü', 'イネムリだるま', 'Dict.']",18:00:00,18:30:00
22,2018-07-26,梅田Zeela,あんたもスマイリー〜今日から君もファンキーフレンズフォーエバー〜,['スマイリー高木とfunky friends&forever'],19:30:00,20:00:00
